YouAreMyDad, alu/OR-v2, OR, Pass, dt10, 
YouAreMyDad, alu/OR-v3, OR, Pass, dt10, 
YouAreMyDad, alu/SLTIU-v1, SLTIU, Pass, dt10, 
YouAreMyDad, alu/SLTIU-v2, SLTIU, Pass, dt10, 
YouAreMyDad, alu/SLTIU-v3, SLTIU, Pass, dt10, 
YouAreMyDad, alu/SLTIU-v4, SLTIU, Pass, dt10, 
YouAreMyDad, alu/SLTIU-v5, SLTIU, Pass, dt10, 
YouAreMyDad, alu/SLTI-v1, SLTI, Pass, dt10, 
YouAreMyDad, alu/SLTI-v2, SLTI, Pass, dt10, 
YouAreMyDad, alu/SLTI-v3, SLTI, Pass, dt10, 
YouAreMyDad, alu/SLTI-v4, SLTI, Pass, dt10, 
YouAreMyDad, alu/SLTI-v5, SLTI, Pass, dt10, 
YouAreMyDad, alu/SLTU-v1, SLTU, Pass, dt10, 
YouAreMyDad, alu/SLTU-v2, SLTU, Pass, dt10, 
YouAreMyDad, alu/SLTU-v3, SLTU, Pass, dt10, 
YouAreMyDad, alu/SLTU-v4, SLTU, Pass, dt10, 
YouAreMyDad, alu/SLT-v1, SLT, Pass, dt10, 
YouAreMyDad, alu/SLT-v2, SLT, Pass, dt10, 
YouAreMyDad, alu/SLT-v3, SLT, Pass, dt10, 
YouAreMyDad, alu/SLT-v4, SLT, Pass, dt10, 
YouAreMyDad, alu/SUB-neg-res, SUB, Pass, dt10, 
YouAreMyDad, alu/SUB-pos-res, SUB, Pass, dt10, 
YouAreMyDad, alu/SUB-wrap, SUB, Pass, dt10, 
YouAreMyDad, alu/XOR-v1, XOR, Pass, dt10, 
YouAreMyDad, alu/XOR-v2, XOR, Pass, dt10, 
YouAreMyDad, branch/BEQ-delay-slot, BEQ, Pass, dt10, 
YouAreMyDad, branch/BEQ-loop, BEQ, Pass, dt10, 
YouAreMyDad, branch/BEQ-loop-v2, BEQ, Pass, dt10, 
YouAreMyDad, branch/BEQ-not-taken, BEQ, Pass, dt10, 
YouAreMyDad, branch/BEQ-taken, BEQ, Pass, dt10, 
YouAreMyDad, branch/BGEZAL-not-taken-v1, BGEZAL, Pass, dt10, 
YouAreMyDad, branch/BGEZAL-not-taken-v2, BGEZAL, Pass, dt10, 
